Date,Cases,Deaths
2021-03-10,1957578,31947
2021-03-11,1962643,32039
2020-08-01,480020,7021
2021-03-12,1967857,32144
2020-04-01,7769,100
2020-08-02,487124,7083
2021-03-13,1973101,32224
2020-04-02,9000,144
2020-08-03,491876,7156
2021-03-14,1976800,32254
2020-04-03,10260,169
2022-12-30,7269428,83911
2020-08-04,497322,7401
2021-03-15,1979626,32347
2020-04-04,11537,194
2022-12-31,7269428,83911
2020-08-05,502731,7626
2021-03-16,1984417,32448
2020-04-05,12342,220
2021-03-17,1989016,32503
2020-08-06,510381,7746
2020-04-06,13621,253
2021-03-18,1994109,32597
2020-08-07,518067,7926
2020-04-07,14739,295
2021-03-19,1999249,32650
2020-08-08,526569,8108
2020-04-08,15690,322
2020-08-09,532798,8185
2020-04-09,16819,370
2021-04-10,2118705,34013
2021-04-11,2124225,34020
2021-04-12,2125838,34055
2020-09-01,631032,11373
2020-05-01,34720,1313
2021-04-13,2134906,34119
2020-09-02,633434,11500
2020-05-02,35455,1363
2021-04-14,2141678,34163
2020-09-03,637005,11649
2020-05-03,36070,1378
2021-04-15,2148440,34237
2020-09-04,640203,11749
2020-05-04,36889,1398
2021-04-16,2155736,34329
2020-09-05,643859,11810
2020-05-05,37431,1470
2021-04-17,2162059,34403
2020-09-06,646423,11848
2020-05-06,37994,1538
2021-04-18,2168893,34438
2020-09-07,648261,11870
2020-05-07,38820,1599
2021-04-19,2173130,34470
2020-09-08,650084,11914
2020-05-08,39191,1668
2020-09-09,652140,12114
2020-05-09,39993,1714
2022-04-20,5891834,73759
2022-04-21,5895595,73789
2021-09-10,3409165,48772
2021-05-10,2272094,35782
2021-01-10,1477002,22911
2022-04-22,5899188,73830
2021-09-11,3418160,48772
2021-05-11,2275357,35830
2021-01-11,1488578,23070
2022-04-23,5899188,73830
2021-09-12,3418160,48772
2021-05-12,2278541,35881
2020-06-01,56822,2459
2021-01-12,1503474,23226
2022-04-24,5899188,73830
2021-09-13,3442090,48772
2021-05-13,2282605,35928
2020-06-02,57439,2529
2021-01-13,1517464,23395
2022-04-25,5908193,73864
2021-09-14,3453390,49254
2021-05-14,2286195,35999
2020-06-03,58756,2565
2021-01-14,1531184,23612
2022-04-26,5911764,73869
2021-09-15,3464113,49257
2021-05-15,2289514,36055
2020-06-04,60175,2606
2021-01-15,1548059,23798
2022-04-27,5916354,73897
2021-09-16,3473873,50811
2021-05-16,2291996,36074
2021-01-16,1560178,24003
2020-06-05,61480,2659
2022-04-28,5920992,73928
2021-09-17,3485163,51240
2021-05-17,2293972,36132
2021-01-17,1571271,24136
2020-06-06,62750,2687
2022-04-29,5925668,73948
2021-09-18,3494954,51240
2021-05-18,2296777,36226
2021-01-18,1579273,24273
2020-06-07,63930,2699
2021-09-19,3494954,51240
2021-05-19,2299588,36270
2021-01-19,1589089,24435
2020-06-08,64896,2711
2020-06-09,65992,2764
2020-11-20,923410,17888
2020-11-21,931819,17929
2020-11-22,938406,17990
2020-11-23,944737,18084
2020-11-24,953292,18156
2020-11-25,961668,18253
2020-11-26,961668,18253
2022-05-20,6058248,74330
2022-01-20,5242386,63569
2020-11-27,979012,18362
2022-05-21,6067606,74330
2022-01-21,5281000,63763
2021-06-10,2298549,37206
2020-11-28,985289,18441
2021-02-10,1798272,28207
2022-05-22,6067606,74330
2022-01-22,5303818,63763
2021-06-11,2300786,37265
2020-11-29,992652,18499
2021-02-11,1806797,28381
2022-05-23,6081013,74374
2022-01-23,5303818,63763
2021-06-12,2300786,37265
2020-07-01,158989,3549
2021-02-12,1814414,28564
2022-05-24,6090530,74378
2022-01-24,5347828,64002
2021-06-13,2302684,37265
2020-07-02,169098,3616
2021-02-13,1821929,28682
2022-05-25,6102614,74400
2022-01-25,5383094,64005
2021-06-14,2304918,37330
2020-07-03,178586,3683
2021-02-14,1827365,28778
2022-05-26,6114014,74435
2022-01-26,5420755,64007
2021-06-15,2305909,37393
2020-07-04,190044,3701
2021-02-15,1830980,28933
2022-05-27,6125115,74466
2022-01-27,5448288,64635
2021-06-16,2307628,37448
2020-07-05,200103,3730
2021-02-16,1837277,29153
2022-05-28,6125115,74466
2022-01-28,5478894,64955
2021-06-17,2309254,37448
2020-07-06,206439,3777
2021-02-17,1844619,29310
2022-05-29,6125115,74466
2022-01-29,5501599,64955
2021-06-18,2310881,37555
2020-07-07,213786,3840
2021-02-18,1849736,29473
2021-06-19,2310881,37555
2020-07-08,223775,3888
2021-02-19,1856419,29691
2020-07-09,232710,4008
2020-12-20,1201558,20567
2020-12-21,1212573,20679
2020-12-22,1223007,20753
2020-12-23,1234391,20873
2020-12-24,1247538,20994
2020-12-25,1247538,20994
2023-01-30,7400419,84927
2020-12-26,1264580,21134
2023-01-31,7400419,84927
2022-06-20,6345663,75096
2022-02-20,5780682,68902
2020-12-27,1271971,21211
2022-06-21,6383059,75297
2022-02-21,5780682,68902
2021-07-10,2361360,38157
2020-12-28,1280169,21307
2022-06-22,6395154,75337
2022-02-22,5790325,68955
2021-07-11,2361360,38157
2020-12-29,1292244,21408
2022-06-23,6407648,75411
2022-02-23,5794256,68955
2021-07-12,2361360,38157
2022-06-24,6419490,75491
2022-02-24,5797657,69553
